product_id,search_keyword,product_name,price,item_sold,shop_name,shop_type,location
P804,talenan kayu,Talenan Kayu Mangga Natural Handmade,38000,5400,WoodHome,regular,Jakarta Timur
P805,talenan kayu,Talenan Kayu Kecil Set 3 Ukuran Mini,55000,3300,MiniCraft,regular,Surabaya
P901,rak sepatu minimalis,Rak Sepatu Minimalis Susun 3 Besi,95000,8900,RakStyle,star,Jakarta Barat
P902,rak sepatu minimalis,Rak Sepatu Plastik 6 Pasang Murah,45000,15600,ShoeOrganizer,regular,Surabaya
P903,rak sepatu minimalis,Rak Sepatu Kayu Skandinavia 4 Level,145000,2100,ScandyHome,regular,Bandung
P904,rak sepatu minimalis,Rak Sepatu Besi Lipat 2 Tingkat,72000,5800,IronHome,regular,Bekasi
P905,rak sepatu minimalis,Shoe Rack Bambu 5 Susun Eco,88000,3400,BambooRack,regular,Yogyakarta
PA01,organizer laci kamar,Organizer Laci Kamar Set 6 Pcs,68000,6700,LivingSpace,star,Jakarta Selatan
PA02,organizer laci kamar,Sekat Laci Baju Lipat Bambu Adjustable,45000,8200,HomeOrganize,regular,Bandung
PA03,organizer laci kamar,Drawer Organizer Plastik Bertumpuk,32000,11400,PlasticHome,regular,Surabaya
PA04,organizer laci kamar,Box Organizer Kain Laci 10 Compartment,58000,4500,FabricBox,regular,Tangerang
PA05,organizer laci kamar,Laci Kamar Organizer Akrilik Transparan,89000,2800,AcrylicHome,regular,Jakarta Pusat
PB01,serum pencerah wajah,Serum Pencerah Wajah Niacinamide 10%,85000,18700,GlowingBeauty,official,Jakarta Selatan
PB02,serum pencerah wajah,Serum Vitamin C Brightening 30ml,75000,22300,SkinCarePro,star,Surabaya
PB03,serum pencerah wajah,Serum Pencerah AHA BHA 2% Anti Kusam,95000,12100,DrBeauty,star,Bandung
PB04,serum pencerah wajah,Brightening Serum Kojic Acid 20ml,65000,8500,NaturalGlow,regular,Jakarta Pusat
PB05,serum pencerah wajah,Serum Whitening Licorice Extract 25ml,110000,5900,WhiteBeauty,official,Surabaya
PC01,organizer makeup meja rias,Organizer Makeup Meja Rias Akrilik 360,185000,4200,BeautyShelf,official,Jakarta Barat
PC02,organizer makeup meja rias,Rak Kosmetik Putar 3 Tingkat Plastik,88000,7600,MakeupOrganize,regular,Bandung
PC03,organizer makeup meja rias,Makeup Organizer Kotak Set 5 Kompartemen,65000,9800,DressingBox,regular,Surabaya
PC04,organizer makeup meja rias,Tempat Kosmetik Drawer Bambu 3 Laci,125000,3100,BambooBeauty,regular,Yogyakarta
PC05,organizer makeup meja rias,Acrylic Makeup Organizer Tower 5 Layer,210000,1900,LuxuryBeauty,official,Jakarta Selatan
PD01,cermin kaca rias,Cermin Kaca Rias LED Touchscreen Bulat,225000,5800,MirrorLux,official,Jakarta Pusat
PD02,cermin kaca rias,Cermin Meja Rias Lipat 2 Sisi Adjustable,88000,9400,MirrorHome,regular,Bandung
PD03,cermin kaca rias,Kaca Cermin Dinding Standing Full Body,165000,3600,GlassDecor,regular,Surabaya
PD04,cermin kaca rias,Cermin Makeup LED 10x Magnify Meja,145000,4100,LedMirror,star,Jakarta Selatan
PD05,cermin kaca rias,Cermin Rias Bulat Rose Gold Frame,95000,7200,BeautyMirror,regular,Tangerang
